part_id,open_response
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,I don't want Donald Trump to win I'd much rather prefer clinton. Trump is mean loud and nasty
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,Neither candidate is favorable. I would not support Trump under any circumstance. Hillary is the best option.
429,"I think Hillary is not a great candidate and would like a realistic, better option than her, but Trump is not that person. He is fundamentally unsuited to be President (by his own words, not others' accusations). The risk is too great to elect someone like him. "
430,NA
431,"While I can honestly say I find them both repugnant, Hilary I very much believe is completely dishonest...a grifter. / I think she is a serial liar and thinks she is due the presidency. WHILE Trump I / agree is a blow-hard, I think he loves his country."
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,Trump is a fascist and a danger to the country. Clinton is neither of those things. The other candidates are unqualified.
439,NA
440,"i think both candidates have made mistakes, but donald trump is far worse than clinton"
441,Both are terrible candidates for different reasons. I voted early and did not vote for either of them. The 2 party system is ridiculous and undemocratic.
442,Trump is not just wrong. He is unstable and colloquially I could say crazy.  Hillary is intelligent if flawed but the better leader.
443,I Think both are very deeply flawed and think both will have issues as president. I Think Clinton has a bad history of lying and while I do not agree with most of Trump he does tell the truth. I think this is a scary election.
444,NA
445,NA
446,NA
447,"Donald Trump is a charlatan. He has spent his whole life doing things in his own self interest, and now wants people to believe he is suddenly out to represent them. Hilary Clinton has spent her life doing things that ultimately benefited those less fortunate, and will I believe continue to do this as president."
448,NA
449,NA
450,NA
451,NA
452,NA
453,NA
454,I think we are screwed. No matter who wins it will be a bad. 
455,Hillary is a great candidate with great credentials.  I think she will make a good president.  Donald Trump has limited to no working knowledge of the U.S government or international affairs; I can't begin to fathom how he will perform the job of president.
456,NA
457,"Donald Trump is a national security threat. He's expressed many times that he doesn't have an interest in trying to have a relationship with other countries, and he essentially wants to bomb everyone. The comments he's made regarding just about every gender/race/religion is terrible. He's putting hatred in to everyone's minds and it's awful. He doesn't morally align with where I lie (pro choice, women's rights, gay rights, etc) and doesn't believe in global warming which is a major concern at this point. Hilary has plans to help with global warming, wants to continue to grow relationships with other countries, and believes in a women's right to choose. "
458,"Hillary Clinton is brilliant but compromised, and will bring with her baggage of small-level controversies, but she will move the country in the right direction. Donald Trump is a dangerous meglomaniac and the closest this country has ever come to jeopardizing democracy."
459,Good support for the best candiadte possible
460,"Go Hillary, Boo trump!"
461,"i think that Donald Trump is the lesser of two evils.  I believe that if he is elected he will surround himself with people who are as smart, if not smarter than himself.  I believe that if Hillary is elected her decisions will go unchecked. "
462,Trump is raw and says whatever he wants to say.  I'm not sure what he would do as President.  Hillary seems to have Democratic values and will probably help the middle class.  She isn't as warm as Obama and may possibly be hypocritic.
463,I think that it is sort of a crap shoot. I'm not really sure what to think or do given the media coverage and the strong opposing sides. It is hard to find a neutral opinion on the subject. I will make my decision on election day. 
464,"HIllary Clinton is the most qualified candidate for President in generations, and has the temperament, knowledge, and character to lead. Donald Trump is an ignorant, bigoted demagouge who is an existential threat to the Republic"
465,NA
466,I think Hillary is a horrible candidate but I beleieve out of the two major party candidates she wins by default because Doanld Trump isn't even remotely qualified 
467,I just feel that Clinton is the best choice. I think Trump is a radical and doesn't care about anyone but himself.
468,NA
469,"Hillary is regrettably business as usual.  Its not good. / DT on the other hand is such a nightmare, such an uninformed moron, such a charlatan and obvious fraud and liar, there is simply no choice.  "
470,"Donald Trump is not qualified to be President.  It is ridiculous and outrageous that he is even the Republican candidate.  Though I am not a particularly big fan of Hillary Clinton, she is definitely the more suitable candidate.  She represents a move towards more progress already made by President Obama."
471,"I believe the current presidential race is the biggest joke I have personally witnessed as an adult. I understand that anyone who fits the criteria can run for office, but the fact that Trump has gotten this far is appalling and makes me question the intelligence and sanity of the average American; as well as the lack of gumption to demand our ""democratic"" nation to listen to reason and stop this mockery. /  / As for Clinton...she's a seasoned politician. And I mean that in both a complimentary and insulting way. If and when she becomes our next president, nothing major will change for the average American. Some good, a decent amount of masked bad that we won't notice until it is too late for the public. /  / Then wash, rinse, repeat for the next president. #realist"
472,Both are dishonest.  Hillary is willing to say anything to get people to vote for her.  Trump lies about everything because he doesn't know very much.
473,i think trump will do better then she will
474,Hillary Clinton is a liar and a crook who is out for herself at the risk of Americans. She is money and power hungry and in league with current legislators and big business to keep the country as it is.  /  / Donald Trump is a man with a vision. His personal characteristics are not great but he is committed to doing what he believes in and is a patriot. I believe in his views on almost everything. Social Security. Medicare. Immigration. Trade. Terrorism and the military. 
475,"I support Hillary Clinton. I think that she will do well for America. /  / I think Donald Trump is a self-centered person only in it for himself. He is very much like a dictator (Hitler), He is verbally abusive, prejudiced, uninformed, sexist and cruel. I will take our country back years. He is also most likely to bring us to war with other nations and do something destructive for the US."
476,NA
477,"Hillary Clinton had one job. She had to make Donald Trump look dumb. For undecideds, it will matter less that he's a bully or a liar. She has issues with trust, too. What will scare them is how unprepared he is. Every chance she gets to point this out has the potential to add points. Unfortunately for Clinton, she didn't take many of them. While she pointed out that his ""cavalier attitude"" toward nuclear weapons was dangerous, time and again, she punted at opportunities to point out how ill-informed and unprepared Trump is. Instead, she preferred to argue his vague platform on its merits. For her, this wasn't damaging, but it didn't move the needle in her favor."
478,I like Trump a little more than Hilary Clinton.  I feel like Hilary doesn't care about the middle class.
479,"I am not real impressed with The Donald right now. More and more insulting stuff about him keeps coming out. But he is, in my opinion, the lessor of 2 evils. I do not like anything about Hillary. She is pro abortion and I am a firm believer that is murder!!!"
480,"I do not believe that Donald Trump is qualified to make sane, rational decisions. I fully support Hilary Clinton and her politics. "
481,"I don't trust Clinton, but she is clearly the better politician and more tactful representative. In times of high cultural and international tension, that is the better bet for peace."
